Start Messung
START OF OUTPUT
54825 0
75859 0
97001 0
118143 0
139285 0
160427 0
181569 0
202711 0
223853 0
244995 0
266137 0
287279 0
308421 0
329563 0
350705 0
371847 0
392989 0
414075 0
435217 0
456359 0
477501 0
498643 0
519785 0
540927 0
562069 0
583211 0
604353 0
625495 0
646637 0
667779 0
688921 0
710063 0
731205 0
752347 0
773489 0
794631 0
815773 0
836857 0
857999 0
879141 0
900283 0
921425 0
942567 0
963709 0
984851 0
1005993 0
1027135 0
1048277 0
1069419 0
1090561 0
1111703 0
1132845 0
1153987 0
1175129 0
1196271 0
1217413 0
1238555 0
1259629 0
1280771 0
1301913 0
1323055 0
1344197 0
1365339 0
1386481 0
1407623 0
1428765 0
1449907 0
1471049 0
1492191 0
1513333 0
1534475 0
1555617 0
1576759 0
1597901 0
1619043 0
1640185 0
1661327 0
1682413 0
1703555 0
1724697 0
1745839 0
1766981 0
1788123 0
1809265 0
1830407 0
1851549 0
1872691 0
1893833 0
1914975 0
1936117 0
1957259 0
1978401 0
1999543 0
2020685 0
2041827 0
2062969 0
2084111 0
2105223 0
2126365 0
2147507 0
2168649 0
2189791 0
2210933 0
2232075 0
2253217 0
2274359 0
2295501 0
2316643 0
2337785 0
2358927 0
2380069 0
2401211 0
2422353 0
2443495 0
2464637 0
2485779 0
2506921 0
2527999 0
2549141 0
2570283 0
2591425 0
2612567 0
2633709 0
2654851 0
2675993 0
2697135 0
2718277 0
2739419 0
2760561 0
2781703 0
2802845 0
2823987 0
2845129 0
2866271 0
2887413 0
2908555 0
2929697 0
2950777 0
2971919 0
2993061 0
3014203 0
3035345 0
3056487 0
3077629 0
3098771 0
3119913 0
3141055 0
3162197 0
3183339 0
3204481 0
3225623 0
3246765 0
3267907 0
3289049 0
3310191 0
3331333 0
3352417 0
3373559 0
3394701 0
3415843 0
3436985 0
3458127 0
3479269 0
3500411 0
3521553 0
3542695 0
3563837 0
3584979 0
3606121 0
3627263 0
3648405 0
3669547 0
3690689 0
3711831 0
3732973 0
3754115 0
3775203 0
3796345 0
3817487 0
3838629 0
3859771 0
3880913 0
3902055 0
3923197 0
3944339 0
3965481 0
3986623 0
4007765 0
4028907 0
4050049 0
4071191 0
4092333 0
4113475 0
4134617 0
4155759 0
4176901 0
4198011 0
4219159 0
4240301 0
4261443 0
4282585 0
4303727 0
4324869 0
4346011 1
4367153 0
4388295 0
4409437 1
4430579 0
4451721 1
4472863 1
4494005 0
4515147 1
4536289 1
4557431 1
4578573 0
4599715 1
4620795 1
4641937 1
4663079 1
4684221 2
4705363 1
4726505 1
4747647 1
4768789 1
4789931 2
4811073 1
4832215 2
4853357 1
4874499 2
4895641 1
4916783 2
4937925 2
4959067 1
4980209 2
5001351 2
5022493 2
5043567 2
5064709 2
5085851 2
5106993 2
5128135 2
5149277 2
5170419 2
5191561 3
5212703 2
5233845 2
5254987 2
5276129 3
5297271 2
5318413 2
5339555 3
5360697 3
5381839 2
5402981 3
5424123 2
5445265 3
5466343 2
5487485 4
5508627 2
5529769 3
5550911 3
5572053 2
5593195 3
5614337 3
5635479 3
5656621 3
5677763 3
5698905 3
5720047 3
5741189 3
5762331 3
5783473 4
5804615 3
5825757 3
5846899 3
5868041 3
5889121 4
5910263 3
5931405 3
5952547 4
5973689 3
5994831 4
6015973 3
6037115 3
6058257 4
6079399 4
6100541 3
6121683 3
6142825 4
6163967 3
6185109 5
6206251 4
6227393 3
6248535 3
6269677 4
6290819 3
6311925 5
6333067 4
6354209 3
6375351 3
6396493 5
6417635 4
6438777 4
6459919 3
6481061 4
6502203 4
6523345 4
6544487 5
6565629 4
6586771 3
6607913 4
6629055 4
6650197 4
6671339 5
6692481 4
6713557 4
6734699 4
6755841 5
6776983 4
6798125 4
6819267 5
6840409 4
6861551 4
6882693 4
6903835 5
6924977 4
6946119 4
6967261 5
6988403 4
7009545 5
7030687 4
7051829 4
7072971 5
7094113 5
7115255 4
7136333 4
7157475 5
